black_name,black_reason,disposal_date,topic_tag
应县木塔即将全部拆卸落地大修,网络谣言（虚假信息）,2026-04-09,其他
七部门发布AI安全治理三年行动计划,网络谣言（虚假信息）,2026-04-09,公共安全
多地试点开征新能源汽车里程税,网络谣言（虚假信息）,2026-04-09,交通/车辆政策
超强厄尔尼诺将致最热年,网络谣言（虚假信息）,2026-04-09,自然灾害
电网公司蓄意调快电表、安装节电器可立省50%,网络谣言（虚假信息）,2026-04-09,其他
科大讯飞向政府备案裁员30%,网络谣言（虚假信息）,2026-04-09,企业/经济
用OpenClaw登录微信被刷600元,网络谣言（虚假信息）,2026-04-09,其他
深圳将禁行电动自行车,网络谣言（虚假信息）,2026-04-09,交通/车辆政策
一半中国男性活不到67.7岁,网络谣言（虚假信息）,2026-04-09,其他
油菜花期不能打药否则毒死蜜蜂,网络谣言（虚假信息）,2026-04-09,其他
多地网传“孩子被拐”“人贩子出没”,网络谣言（虚假信息）,2026-03-10,公共安全
高速公路上，车速越快越省油,网络谣言（虚假信息）,2026-03-10,交通/车辆政策
春节期间云南、山东等热门景区免费开放、交通瘫痪,网络谣言（虚假信息）,2026-03-10,交通/车辆政策
广东茂名高速多车连撞致3死、江西丰城高速特大事故73死,网络谣言（虚假信息）,2026-03-10,交通/车辆政策
天津滨海新区2025年GDP增速仅为0.6%,网络谣言（虚假信息）,2026-03-10,其他
个人账户余额用完，不能享受医保待遇,网络谣言（虚假信息）,2026-03-10,社保/医保
春节期间快递停运,网络谣言（虚假信息）,2026-03-10,物流/快递
2026年马年是无春年，不宜婚嫁,网络谣言（虚假信息）,2026-03-10,其他
2026年春运绿皮车严重超员,网络谣言（虚假信息）,2026-03-10,其他
通过小程序可领500元分娩补贴,网络谣言（虚假信息）,2026-03-10,新能源汽车政策
2026年新能源汽车不再享受补贴,网络谣言（虚假信息）,2026-02-05,交通/车辆政策
2026年起驾考难度大幅提升,网络谣言（虚假信息）,2026-02-05,交通/车辆政策
吃火锅会感染寄生虫,网络谣言（虚假信息）,2026-02-05,健康/疾病谣言
喝白酒能预防新冠病毒,网络谣言（虚假信息）,2026-02-05,健康/疾病谣言
手机充电一晚会爆炸,网络谣言（虚假信息）,2026-02-05,交通/车辆政策
医保个人账户资金年底清零,网络谣言（虚假信息）,2026-02-05,社保/医保
吃草莓会感染诺如病毒,网络谣言（虚假信息）,2026-02-05,健康/疾病谣言
2026年起驾驶证实行“终身免检”,网络谣言（虚假信息）,2026-02-05,个人证件/政务
高铁票打折意味着客流量减少,网络谣言（虚假信息）,2026-02-05,其他
2026年起私家车将取消年检,网络谣言（虚假信息）,2026-02-05,交通/车辆政策
吃柿子会得结石,网络谣言（虚假信息）,2026-01-23,食品安全/饮食
2026年起社保断缴清零,网络谣言（虚假信息）,2026-01-23,社保/医保
喝可乐能杀精,网络谣言（虚假信息）,2026-01-23,食品安全/饮食
手机辐射会导致脑癌,网络谣言（虚假信息）,2026-01-23,其他
吃味精会掉头发,网络谣言（虚假信息）,2026-01-23,食品安全/饮食
2026年起高速免费政策取消,网络谣言（虚假信息）,2026-01-23,交通/车辆政策
高铁夜间行驶速度比白天慢,网络谣言（虚假信息）,2026-01-23,其他
2025年个税退税开始，逾期作废,网络谣言（虚假信息）,2026-01-23,社保/医保
吃螃蟹会导致流产,网络谣言（虚假信息）,2026-01-23,食品安全/饮食
身份证倒数第二位代表性别,网络谣言（虚假信息）,2026-01-23,个人证件/政务
2025年冬季将迎来极寒天气,网络谣言（虚假信息）,2025-12-09,自然灾害
2026年起驾照实行全国通考,网络谣言（虚假信息）,2025-12-09,交通/车辆政策
吃火锅时喝冰饮料会猝死,网络谣言（虚假信息）,2025-12-09,健康/疾病谣言
2025年养老金将暂停发放,网络谣言（虚假信息）,2025-12-09,社保/医保
手机电量剩10%再充最好,网络谣言（虚假信息）,2025-12-09,其他
吃柚子会导致药物中毒,网络谣言（虚假信息）,2025-12-09,食品安全/饮食
2025年双11快递大面积停运,网络谣言（虚假信息）,2025-12-09,物流/快递
喝红酒能软化血管,网络谣言（虚假信息）,2025-12-09,食品安全/饮食
2026年起医保报销比例下调,网络谣言（虚假信息）,2025-12-09,社保/医保
2026年起电动车禁止上路,网络谣言（虚假信息）,2025-12-09,交通/车辆政策
喝豆浆会导致乳腺癌,网络谣言（虚假信息）,2025-11-12,食品安全/饮食
喝浓茶能解酒,网络谣言（虚假信息）,2025-11-12,食品安全/饮食
2026年起驾照考试增加科目,网络谣言（虚假信息）,2025-11-12,交通/车辆政策
吃大蒜能杀菌消毒,网络谣言（虚假信息）,2025-11-12,食品安全/饮食
2025年双十一优惠力度缩水,网络谣言（虚假信息）,2025-11-12,其他
2026年起私家车强制安装ETC,网络谣言（虚假信息）,2025-11-12,交通/车辆政策
手机贴防辐射贴能减少辐射,网络谣言（虚假信息）,2025-11-12,其他
2025年快递将全面涨价,网络谣言（虚假信息）,2025-11-12,物流/快递
吃香蕉能治便秘,网络谣言（虚假信息）,2025-11-12,食品安全/饮食
2025年供暖期提前结束,网络谣言（虚假信息）,2025-11-12,其他
喝碳酸饮料会骨质疏松,网络谣言（虚假信息）,2025-10-09,食品安全/饮食
2026年起社保缴费基数上调,网络谣言（虚假信息）,2025-10-09,社保/医保
吃螃蟹不能吃柿子,网络谣言（虚假信息）,2025-10-09,食品安全/饮食
2025年国庆假期延长,网络谣言（虚假信息）,2025-10-09,旅游/节假日
喝牛奶会致癌,网络谣言（虚假信息）,2025-10-09,食品安全/饮食
2026年起新能源汽车限行,网络谣言（虚假信息）,2025-10-09,交通/车辆政策
手机放在枕头边会辐射大脑,网络谣言（虚假信息）,2025-10-09,其他
2025年高速免费时间调整,网络谣言（虚假信息）,2025-10-09,交通/车辆政策
吃月饼会导致血糖飙升,网络谣言（虚假信息）,2025-10-09,食品安全/饮食
2025年国庆景区全部关闭,网络谣言（虚假信息）,2025-10-09,旅游/节假日
喝白开水能排毒,网络谣言（虚假信息）,2025-09-09,食品安全/饮食
2026年起医保个人账户取消,网络谣言（虚假信息）,2025-09-09,社保/医保
吃西瓜会导致宫寒,网络谣言（虚假信息）,2025-09-09,食品安全/饮食
2025年中秋假期调整,网络谣言（虚假信息）,2025-09-09,其他
喝蜂蜜水可以养胃,网络谣言（虚假信息）,2025-09-09,食品安全/饮食
2026年起驾考费用上涨,网络谣言（虚假信息）,2025-09-09,交通/车辆政策
2025年教师节取消福利,网络谣言（虚假信息）,2025-09-09,教育/招生
吃葡萄会导致糖尿病,网络谣言（虚假信息）,2025-09-09,食品安全/饮食
2025年秋季开学时间推迟,网络谣言（虚假信息）,2025-09-09,教育/招生
手机贴膜会伤害眼睛,网络谣言（虚假信息）,2025-09-09,其他
喝绿豆汤能解暑,网络谣言（虚假信息）,2025-08-13,食品安全/饮食
喝酸奶能助消化,网络谣言（虚假信息）,2025-08-13,食品安全/饮食
2026年起社保补缴取消,网络谣言（虚假信息）,2025-08-13,社保/医保
吃黄瓜能减肥,网络谣言（虚假信息）,2025-08-13,食品安全/饮食
2025年七夕活动取消,网络谣言（虚假信息）,2025-08-13,其他
2026年起电动车上牌新规,网络谣言（虚假信息）,2025-08-13,交通/车辆政策
手机关机后仍有辐射,网络谣言（虚假信息）,2025-08-13,其他
2025年秋季征兵政策调整,网络谣言（虚假信息）,2025-08-13,其他
吃桃子会过敏,网络谣言（虚假信息）,2025-08-13,食品安全/饮食
2025年暑假结束时间推迟,网络谣言（虚假信息）,2025-08-13,其他
2025年中考政策调整,网络谣言（虚假信息）,2025-07-09,教育/招生
喝果汁能代替吃水果,网络谣言（虚假信息）,2025-07-09,食品安全/饮食
2026年起医保异地就医简化,网络谣言（虚假信息）,2025-07-09,社保/医保
吃西红柿能美白,网络谣言（虚假信息）,2025-07-09,食品安全/饮食
喝凉茶能降火,网络谣言（虚假信息）,2025-07-09,食品安全/饮食
2025年高考录取分数线泄露,网络谣言（虚假信息）,2025-07-09,教育/招生
手机充电时不能打电话,网络谣言（虚假信息）,2025-07-09,交通/车辆政策
2025年暑假补课全面禁止,网络谣言（虚假信息）,2025-07-09,其他
吃冷饮会伤脾胃,网络谣言（虚假信息）,2025-07-09,食品安全/饮食
2026年起驾照年龄放宽,网络谣言（虚假信息）,2025-07-09,交通/车辆政策
喝姜汤能驱寒,网络谣言（虚假信息）,2025-06-09,食品安全/饮食
2025年端午节放假调整,网络谣言（虚假信息）,2025-06-09,其他
吃粽子会消化不良,网络谣言（虚假信息）,2025-06-09,食品安全/饮食
2025年高考作弊新规,网络谣言（虚假信息）,2025-06-09,教育/招生
手机飞行模式能减少辐射,网络谣言（虚假信息）,2025-06-09,其他
2026年起新能源汽车补贴取消,网络谣言（虚假信息）,2025-06-09,交通/车辆政策
2025年六一活动取消,网络谣言（虚假信息）,2025-06-09,其他
