media_name,title,content,publish_date
中国网,中国发布,"《中医体质分类与判定》推动健康管理从“治已病”到“治未病”，把健康管理和疾病防控的关口前移，为中医养生保健提供了科学、规范的技术支撑。

2026-04-29",
中国网,第一观察｜开局之年，总书记对加强基础研究作出战略部署,"4月30日，习近平总书记在上海出席加强基础研究座谈会，强调要以更大力度、更实举措加强基础研究，提升我国原始创新能力，进一步打牢科技强国建设根基。

技术创新、产业创新是“从1到100”，基础研究处于科研链条起始端，则是“从0到1”的创新。正如习近平总书记所说：“基础研究是整个科学体系的源头，是所有技术问题的总机关。”

党的十八大以来，以习近平同志为核心的党中央高度重视基础研究，通过优化科研布局、加大投入保障、创新体制机制等，推动我国基础研究水平显著提升。

2023年2月，中共中央政治局曾就加强基础研究进行集体学习。习近平总书记专门强调：“加强基础研究，是实现高水平科技自立自强的迫切要求，是建设世界科技强国的必由之路。”

“十五五”时期是建设科技强国的关键时期。此次座谈会，习近平总书记对加强基础研究作出战略部署，源于对时与势的深刻洞察：

横向看，新一轮科技革命和产业变革深入发展，基础研究转化周期明显缩短，国际科技竞争日益向基础前沿前移。应对国际科技竞争、实现高水平科技自立自强，推动构建新发展格局、实现高质量发展，迫切需要我们加强基础研究。

纵向看，当前距离实现建成科技强国战略目",
中国网,学习新语｜向辛勤付出的奋斗者致敬,"“中华民族是勤于劳动、善于创造的民族”“向勤劳勇敢的中国人民道一声辛苦”“向每一位辛勤付出的奋斗者致敬”……在“五一”国际劳动节到来之际，一起重温习近平总书记的深情话语，致敬每一份辛劳与奋斗！

策划：石锋 吴丹

统筹：黄庆华 周年钧

制作：王欢 胡碧霞

新华社新媒体中心制作

新华社出品

【责任编辑：魏婧】",
中国网,一习话·追光的你丨“向每一位辛勤付出的奋斗者致敬”,"“人生在勤，勤则不匮。”

党的十八大以来，习近平总书记赴地方考察调研，都要到基层一线看望各界干部群众，关心大家的工作、学习和生活情况，围绕劳模精神、劳动精神、工匠精神作出一系列深刻阐释，勉励各行各业劳动者，“只要踏实劳动、勤勉劳动，在平凡岗位上也能干出不平凡的业绩”。

人民创造历史，奋斗开创未来。在中国式现代化新征程上，每一个人都是主角。“五一”国际劳动节来临之际，让我们一起感悟总书记对劳动者的深厚情怀，汲取奋进力量，在推动高质量发展中苦干实干、敬业奉献，奋力书写属于新时代劳动者的荣光！

监制：张军 于锋

统筹：伍刚 王薇

策划制作：赵净 郭佳丽 王子文（实习）

中国互联网发展基金会中国正能量网络传播专项基金支持

【责任编辑：魏婧】",
新华网,以色列对黎巴嫩袭击造成至少13人死亡-新华网,新华社德黑兰5月2日电 据伊朗媒体2日报道，至少13名黎巴嫩人在以色列最近几个小时对黎巴嫩的袭击中死亡，另有30多人受伤。,
新华网,马里军事检方就“4·25”袭击事件展开调查-新华网,"新华社达喀尔5月1日电（记者陈晨）巴马科消息：马里巴马科军事法庭检察官办公室1日晚发布公报说，巴马科军事检察机关已就“4·25”袭击事件展开调查。

公报说，现阶段调查显示，涉嫌参与策划、协调和实施袭击的人员包括现役和退役军人及正处于除名程序中的军人。此外，包括马里前国民议会议员奥马尔·马里科在内的一些政治人物也被指牵涉其中。

公报说，有关部门已展开首轮抓捕，相关调查工作将继续推进。

4月25日，马里多地发生针对军营、机场和其他军事目标的协同袭击。一个关联“基地”组织的马里极端组织称，与分离主义武装组织“阿扎瓦德解放阵线”协同发动了此次袭击。马里国防和退伍军人事务部长萨迪奥·卡马拉遭袭遇害。

马里自2012年以来安全局势持续动荡，恐怖袭击、武装冲突和族群暴力频发。近年，马里军方多次表示将持续打击境内恐怖主义和武装团体。",
新华网,伊朗宣布处决两名向以色列提供情报的间谍-新华网,"新华社德黑兰5月2日电 据伊朗法尔斯通讯社2日报道，伊朗处决了两名为以色列情报和特勤局（摩萨德）工作的间谍。

报道说，在经过伊朗司法系统审理并经伊朗最高法院核准判决后，雅库布·卡林普尔和纳赛尔·贝克尔扎德因向以色列政府以及情报机构提供情报和从事间谍活动，被处以绞刑。

报道称，卡林普尔与摩萨德合作，向相关情报人员传递涉及国家安全的敏感信息，而贝克尔扎德曾在多个敏感区域进行异常活动，并在摩萨德的指使下，收集有关政府、宗教及地方人士的信息，以及包括纳坦兹地区在内的重要设施情况。",
新华网,联合国难民署：中东危机正阻碍全球人道援助-新华网,"新华社日内瓦5月1日电（记者王娅楠）联合国难民署1日警告说，中东危机已产生远超地区范围的深远连锁效应，对全球人道主义供应链及援助交付的负面影响日益严重。

联合国难民署发言人卡洛塔·沃尔夫当天在日内瓦举行的新闻发布会上说，海湾主要航线及周边地区，特别是霍尔木兹海峡的安全局势日益恶化，导致海上交通受阻。全球范围内燃料、食品和货运成本上涨，推高了物价，并延误了关键物资的交付，降低了援助机构及时提供援助的能力，冲击数百万难民和流离失所者等的生计。

她说，自中东冲突爆发以来，主要物资供应国的货运价格上涨了近18%，部分货物的运输成本甚至增加了一倍多。

沃尔夫说，非洲局势尤其令人担忧。在肯尼亚，联合国难民署设有一个全球储备仓库，近期约15%的燃油价格上涨导致运往埃塞俄比亚、刚果（金）和南苏丹的物资运输延误。在苏丹，援助物资的交付成本近几个月已翻倍，而绕道好望角的运输路线则使交付时间最多要增加25天。

她指出，如果中东局势持续动荡，成本上升、运输延误以及运力受限可能会进一步限制人道主义行动。",
新华网,新华网股份有限公司官网,"公司介绍

COMPANY INTRODUCTION

新华网是国家通讯社新华社主办的综合新闻信息服务门户网站，是中国最具影响力的网络媒体和具有全球影响力的中文网站。作为新华社全媒体新闻信息产品的主要传播平台，拥有31个地方频道以及英、法、西、俄、阿、日、韩、德、葡、藏等多种语言频道，日均多语种、多终端发稿达1.1万条，重大新闻首发率和转载率遥遥领先国内其他网络媒体。",
0730news,人民之心｜有作为就要有担当,"编者按：政绩观，是世界观、人生观、价值观在为政实践中的集中体现。在全党开展树立和践行正确政绩观学习教育之际，央视网《习语品读》特别推出系列报道，围绕习近平总书记关于树立和践行正确政绩观的重要论述，与您一起学习正确政绩观的丰富内涵与实践要求。

“为人民服务，担当起该担当的责任。”

习近平曾用这句话概括自己的执政理念，14个字里面有两个“担当”。他不仅这样要求自己，也要求广大党员干部要有担当精神，直言“担当和作为是一体的，不作为就是不担当，有作为就要有担当”。

用辩证的观点看，“担当”是内化于心的主动认知，“作为”则是外化于行的具体实践，二者相辅相成，缺一不可。

“有作为就要有担当”，既阐明了“担当”与“作为”的辩证关系，又解释了责任意识与履职能力的不可分割性，为广大党员干部干事创业、实现人生价值提供了思想先导和行动指南。

为官避事平生耻。“担当”二字，在习近平心中分量很重。

在河北正定工作时，习近平在调研中得知，由于粮食征购任务过重，当地一些农民口粮不够，只好偷偷去外县换红薯干儿吃。他顶住压力坚持向上级反映问题：“宁可不要‘全国高产县’这个桂冠，也要让群众过上好日子。”

几",
